,Year,Country,Latitude,Longitude,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Damage_Rating
0,1982,United States,30.757778000000002,-88.35555500000001,1,0,0,0,2
1,1983,United States,94.161111,-234.737222,4,0,0,0,6
2,1988,United States,38.54,-173.24,0,1,1,220,0
3,1989,United States,46.154444,-85.663611,1,0,0,0,2
4,1990,United States,70.333333,-150.933333,3,0,0,0,3
5,1992,United States,30.383611,-103.783334,1,1,0,0,3
6,1995,United States,38.335,-80.28,1,0,0,0,3
7,1997,United States,45.928334,-84.825556,2,0,0,0,3
8,1998,United States,98.945555,-297.49277800000004,1,0,0,9,7
9,1999,United States,361.915277,-1018.2875,9,1,6,1536,21
10,2000,Bolivia,-13.673611,-64.201389,6,0,0,0,3
11,2000,United States,5405.473890000004,-15293.781662999996,142,40,66,741,338
12,2001,Argentina,-35.4775,-59.275278,10,0,0,0,3
13,2001,Australia,-115.061667,551.0699999999999,9,1,0,0,7
14,2001,Bahamas,47.083332999999996,-152.383333,9,0,0,2,5
15,2001,Bolivia,-17.5,-68.5,0,7,6,0,2
16,2001,Canada,185.229445,-300.16888900000004,5,2,0,0,9
17,2001,Cuba,23.166667,-82.1,0,0,1,0,2
18,2001,Denmark,55.988889,8.402778,0,0,0,6,2
19,2001,Ecuador,1.0,-78.0,0,0,0,76,2
20,2001,Germany,101.97555600000001,25.025,5,0,0,0,5
21,2001,Guadeloupe,17.904444,-62.843610999999996,20,0,0,0,3
22,2001,Guatemala,15.585,-99.446389,5,0,0,0,3
23,2001,Iceland,63.516667000000005,-20.583333,2,0,0,0,3
24,2001,Ireland,53.35,-6.483333,0,0,0,2,2
25,2001,"Korea, Republic Of",34.072778,128.784166,8,4,0,0,3
26,2001,Mexico,97.300556,-426.551112,5,0,5,33,10
27,2001,New Zealand,-39.0,174.76666699999998,3,0,0,0,3
28,2001,Peru,-5.816111,-79.122778,3,0,0,0,3
29,2001,Philippines,9.9525,118.78583300000001,6,0,0,0,3
30,2001,Romania,47.672778,26.360833000000003,0,0,0,7,2
31,2001,Saudi Arabia,45.598889,79.15777700000001,2,0,0,1,4
32,2001,United States,33210.41419399997,-86621.79055399999,435,184,213,3469,1839
33,2001,Unknown,49.65,145.26666699999998,0,0,1,3,3
34,2001,Venezuela,80.679167,-75.71083300000001,8,0,0,0,6
35,2002,Argentina,-145.311113,-246.67166599999996,7,0,0,371,5
36,2002,Australia,-38.145833,144.624445,2,0,0,0,3
37,2002,Austria,46.522778,14.298054999999998,0,0,0,3,2
38,2002,Bahamas,126.786389,-318.539445,7,1,0,15,13
39,2002,Belize,18.0,-88.0,0,0,0,14,2
40,2002,British Virgin Islands,18.45,-64.43333299999999,0,0,0,3,2
41,2002,Canada,104.766667,-244.466667,0,0,0,3,4
42,2002,Colombia,19.8275,-300.290001,31,3,4,0,10
43,2002,Costa Rica,9.833333,-83.166667,0,0,1,0,2
44,2002,Denmark,56.826111,8.772778,4,0,0,0,3
45,2002,Dominica,-24.118334,134.39,2,0,0,0,3
46,2002,Dominican Republic,86.63222199999998,-350.26111099999997,2,2,4,0,12
47,2002,Ecuador,-4.1049999999999995,-235.152222,4,0,3,0,7
48,2002,France,88.99194399999999,9.651112,0,3,2,2,4
49,2002,"Korea, Republic Of",33.358056,126.52388899999998,0,0,1,1,2
50,2002,Mexico,101.6375,-419.23888999999997,10,0,10,80,11
51,2002,New Zealand,-40.266667,175.583333,3,0,0,0,3
52,2002,Norway,67.26944499999999,14.366945000000001,0,0,0,0,1
53,2002,Panama,17.561944,-159.334722,0,1,2,2,5
54,2002,Peru,-31.55,-376.370832,14,3,5,3,14
55,2002,Spain,39.738054999999996,2.801111,3,0,0,0,3
56,2002,Suriname,5.9,-55.36666700000001,1,0,0,0,2
57,2002,Switzerland,46.0,10.0,2,0,0,0,3
58,2002,United States,63795.10919199995,-163946.5342049999,569,326,497,6398,3453
59,2002,Unknown,106.25,-386.363332,1,2,2,334,6
60,2002,Venezuela,21.340833,-134.79500000000002,4,1,2,0,5
61,2003,Antarctica,-77.833333,166.6,0,2,0,0,2
62,2003,Argentina,-34.818056,-58.535833,5,0,0,0,3
63,2003,Australia,-216.49888800000002,1125.179445,18,5,0,10,21
64,2003,Bahamas,155.466667,-465.150001,4,0,6,8,13
65,2003,Benin,6.353889,2.385,141,25,0,0,3
66,2003,Bolivia,-71.34472199999999,-129.989999,5,4,0,21,11
67,2003,Brazil,-39.048333,-173.213334,5,5,1,0,8
68,2003,Canada,154.76666699999998,-307.116667,2,0,0,4,7
69,2003,Chile,-66.840277,-141.330555,1,1,2,0,5
70,2003,Colombia,15.388612,-226.340278,8,0,0,0,9
71,2003,Costa Rica,56.50389,-501.14861199999996,3,3,18,10,13
72,2003,Dominican Republic,74.55888999999999,-280.476113,2,3,4,40,8
73,2003,Ecuador,-4.407221,-233.04472200000004,3,2,0,74,8
74,2003,France,43.008889,1.103889,0,0,0,2,2
75,2003,Guyana,6.7366660000000005,-58.115278,2,5,0,0,2
76,2003,Kenya,0.46388900000000005,34.134166,3,11,0,0,3
77,2003,"Korea, Republic Of",33.358056,126.52388899999998,0,0,1,0,2
78,2003,Martinique,14.583332999999998,-61.0,0,0,0,1,2
79,2003,Mexico,106.493055,-469.134721,12,0,0,7,13
80,2003,Netherlands,52.24,6.041389,0,0,2,0,2
81,2003,Netherlands Antilles,12.133333,-68.283333,0,1,0,0,2
82,2003,New Zealand,35.466667,-118.16666699999999,1,0,0,0,3
83,2003,Nigeria,7.433333,3.9,0,0,0,8,2
84,2003,Panama,8.35,-77.03527700000001,1,2,1,0,3
85,2003,Paraguay,-47.082499999999996,-114.42944399999999,2,1,0,6,5
86,2003,Peru,-18.529723,-153.251666,46,0,0,12,5
87,2003,Spain,42.4,2.083333,4,0,0,0,2
88,2003,Sudan,19.5,-37.333333,115,1,0,0,3
89,2003,United Kingdom,53.574723,-0.350556,1,2,0,0,3
90,2003,United States,74035.325291,-190941.91192999986,679,365,670,8295,4004
91,2003,Unknown,18.438889,-66.001667,0,1,0,61,0
92,2003,Venezuela,35.211389999999994,-385.181388,11,3,19,0,16
93,2004,Afghanistan,34.646111,67.666667,6,0,0,0,3
94,2004,Argentina,4.501388999999996,-126.400833,1,1,3,0,5
95,2004,Australia,-97.139444,547.78,6,0,2,5,10
96,2004,Austria,47.048333,9.932223,1,0,0,0,3
97,2004,Bahamas,132.582778,-388.416389,3,1,4,14,9
98,2004,Belize,16.1175,-88.76861099999999,0,0,0,1,2
99,2004,Bolivia,-14.818889000000002,-64.918056,1,0,0,0,3
100,2004,Canada,200.034999,-456.674444,5,0,0,133,9
101,2004,Chile,-70.83333400000001,-144.0,1,1,0,1,5
102,2004,China,31.445,104.72805600000001,2,0,0,0,3
103,2004,Colombia,15.855556,-220.94583300000002,8,18,12,0,9
104,2004,Dominican Republic,37.271945,-136.167778,4,0,0,2,5
105,2004,Ecuador,-1.02,-77.166389,0,0,4,0,2
106,2004,El Salvador,13.833332999999998,-88.916667,5,0,0,0,3
107,2004,Estonia,26.733333000000002,-58.3,1,0,0,0,3
108,2004,Finland,67.616667,-24.166667,0,0,0,0,3
109,2004,France,142.316389,11.061111,6,0,0,141,8
110,2004,Germany,52.459167,-7.185833000000001,3,0,0,0,3
111,2004,Greenland,60.783333,-46.3525,1,0,0,0,3
112,2004,Indonesia,-7.5,110.75,25,59,84,0,2
113,2004,Israel,32.3,34.966667,2,0,0,0,3
